PDEC.223.1.P00010054	PJENN.M.1.P00330030,PJENN.M.1.P01930052	PNOV.TE.1.P01410040,PNOV.TE.1.P00360013	POCT.K8.1.P71800002769770160
PDEC.223.1.P00830039	PJENN.M.1.P03010012,PJENN.M.1.P02710011	PNOV.TE.1.P01870036	POCT.K8.1.P71800002769460014
PDEC.223.1.P00110166,PDEC.223.1.P00830051	PJENN.M.1.P03010028,PJENN.M.1.P02710029	PNOV.TE.1.P03890012,PNOV.TE.1.P01870025	POCT.K8.1.P71800002769600193,POCT.K8.1.P71800002769460025
PDEC.223.1.P00830066	PJENN.M.1.P02710045,NA	PNOV.TE.1.P01870009,PNOV.TE.1.P03890005	POCT.K8.1.P71800002769460040
PDEC.223.1.P00840037,PDEC.223.1.P00970108	PJENN.M.1.P01060124	PNOV.TE.1.P04930013,PNOV.TE.1.P02590036	POCT.K8.1.P71800002770290116,POCT.K8.1.P71800002769700089
PDEC.223.1.P00840038,PDEC.223.1.P00970109	PJENN.M.1.P01060125	PNOV.TE.1.P02590035	POCT.K8.1.P71800002770290115,POCT.K8.1.P71800002769700088
PDEC.223.1.P00840040	PJENN.M.1.P01060127	PNOV.TE.1.P04930011	POCT.K8.1.P71800002770290113
PDEC.223.1.P00840072,PDEC.223.1.P00970085	PJENN.M.1.P01060103	PNOV.TE.1.P02840036,PNOV.TE.1.P03970027	POCT.K8.1.P71800002770290088,POCT.K8.1.P71800002769700112
PDEC.223.1.P00840076,PDEC.223.1.P00970079	PJENN.M.1.P01060097	PNOV.TE.1.P02840031,PNOV.TE.1.P03970021	POCT.K8.1.P71800002770290084,POCT.K8.1.P71800002769700118
PDEC.223.1.P00840091,PDEC.223.1.P00970068	PJENN.M.1.P00250133,PJENN.M.1.P01060086	PNOV.TE.1.P02840016,PNOV.TE.1.P03970012	POCT.K8.1.P71800002770290070,POCT.K8.1.P71800002769700129
PDEC.223.1.P00840092,PDEC.223.1.P00970067	PJENN.M.1.P01060085	PNOV.TE.1.P02840015,PNOV.TE.1.P03970011	POCT.K8.1.P71800002770290069,POCT.K8.1.P71800002769700130
PDEC.223.1.P00840093	PJENN.M.1.P01060083	PNOV.TE.1.P02840013	POCT.K8.1.P71800002770290068
PDEC.223.1.P00840099,PDEC.223.1.P00970062	PJENN.M.1.P01060077	PNOV.TE.1.P02840008,PNOV.TE.1.P03970006	POCT.K8.1.P71800002770290063,POCT.K8.1.P71800002769700135
PDEC.223.1.P00840162,PDEC.223.1.P00970014	PJENN.M.1.P00250174,PJENN.M.1.P01060015	PNOV.TE.1.P05970004,PNOV.TE.1.P07430012	POCT.K8.1.P71800002770290006,POCT.K8.1.P71800002769700185
PDEC.223.1.P00840162,PDEC.223.1.P00970014	PJENN.M.1.P00250174,PJENN.M.1.P01060015	PNOV.TE.1.P05970004,PNOV.TE.1.P07430012	POCT.K8.1.P71800002770290006,POCT.K8.1.P71800002769700185
PDEC.223.1.P00850018,PDEC.223.1.P02730027	PJENN.M.1.P01210044,PJENN.M.1.P01150044	PNOV.TE.1.P06970009,PNOV.TE.1.P06780010	POCT.K8.1.P71800002770000132,POCT.K8.1.P71800002770100145
PDEC.223.1.P00850028,PDEC.223.1.P02730042	PJENN.M.1.P01210055,PJENN.M.1.P01150058	PNOV.TE.1.P06560003,PNOV.TE.1.P06400019	POCT.K8.1.P71800002770000143,POCT.K8.1.P71800002770100156
PDEC.223.1.P00850032,PDEC.223.1.P02730045	PJENN.M.1.P01210058,PJENN.M.1.P01150062	PNOV.TE.1.P06560007,PNOV.TE.1.P06400016	POCT.K8.1.P71800002770000147,POCT.K8.1.P71800002770100159
PDEC.223.1.P00850032,PDEC.223.1.P02730045	PJENN.M.1.P01210058,PJENN.M.1.P01150062	PNOV.TE.1.P06560007,PNOV.TE.1.P06400016	POCT.K8.1.P71800002770000147,POCT.K8.1.P71800002770100159
PDEC.223.1.P00850060,PDEC.223.1.P00550004	PJENN.M.1.P01210090,PJENN.M.1.P01150097	PNOV.TE.1.P03720014,PNOV.TE.1.P02490015	POCT.K8.1.P71800002770000175,POCT.K8.1.P71800002770100186
PDEC.223.1.P00850101,PDEC.223.1.P00550062	PJENN.M.1.P01690062,PJENN.M.1.P01790060	PNOV.TE.1.P08990005	POCT.K8.1.P71800002770000216,POCT.K8.1.P71800002770100239
PDEC.223.1.P00850021	PJENN.M.1.P01210047,PJENN.M.1.P01150047	PNOV.TE.1.P06970006	POCT.K8.1.P71800002770000135
PDEC.223.1.P00850073	PJENN.M.1.P01210110	PNOV.TE.1.P03720029	POCT.K8.1.P71800002770000186
PDEC.223.1.P01460014,PDEC.223.1.P00860068	PJENN.M.1.P02280026,PJENN.M.1.P02100029	PNOV.TE.1.P00500070,PNOV.TE.1.P00230101	POCT.K8.1.P71800002766570063,POCT.K8.1.P71800002770730076
PDEC.223.1.P01460055,PDEC.223.1.P00860087	PJENN.M.1.P02280006,PJENN.M.1.P02100007	PNOV.TE.1.P00500053,PNOV.TE.1.P00230118	POCT.K8.1.P71800002766570048,POCT.K8.1.P71800002770730054
PDEC.223.1.P01460001,PDEC.223.1.P00860054	PJENN.M.1.P02280040,PJENN.M.1.P02100044	PNOV.TE.1.P00500081,PNOV.TE.1.P00230089	POCT.K8.1.P71800002766570075,POCT.K8.1.P71800002770730090
PDEC.223.1.P01460012,PDEC.223.1.P00860067	PJENN.M.1.P02280027,PJENN.M.1.P02100031	PNOV.TE.1.P00500072,PNOV.TE.1.P00230100	POCT.K8.1.P71800002766570065,POCT.K8.1.P71800002770730078
PDEC.223.1.P00870055	PJENN.M.1.P00590062,PJENN.M.1.P00280096	PNOV.TE.1.P00580044	POCT.K8.1.P71800002770450247
PDEC.223.1.P00870060,PDEC.223.1.P00040072	PJENN.M.1.P00590067	PNOV.TE.1.P00580048	POCT.K8.1.P71800002770450253
PDEC.223.1.P00870019,PDEC.223.1.P00040109	PJENN.M.1.P00590028,PJENN.M.1.P00280056	PNOV.TE.1.P00580013,PNOV.TE.1.P00120093	POCT.K8.1.P71800002770450216,POCT.K8.1.P71800002770420112
PDEC.223.1.P00870019,PDEC.223.1.P00040109	PJENN.M.1.P00590028,PJENN.M.1.P00280056	PNOV.TE.1.P00580013,PNOV.TE.1.P00120093	POCT.K8.1.P71800002770450216,POCT.K8.1.P71800002770420112
PDEC.223.1.P00870048,PDEC.223.1.P00040082	PJENN.M.1.P00590055,PJENN.M.1.P00280088	PNOV.TE.1.P00580037,PNOV.TE.1.P00120069	POCT.K8.1.P71800002770450240,POCT.K8.1.P71800002770420085
PDEC.223.1.P00870056,PDEC.223.1.P00040075	PJENN.M.1.P00590063,PJENN.M.1.P00280097	PNOV.TE.1.P00580045,PNOV.TE.1.P00120062	POCT.K8.1.P71800002770450248,POCT.K8.1.P71800002770420078
PDEC.223.1.P00870061,PDEC.223.1.P00040071	PJENN.M.1.P00590068,PJENN.M.1.P00280100	PNOV.TE.1.P00580049,PNOV.TE.1.P00120059	POCT.K8.1.P71800002770450254,POCT.K8.1.P71800002770420075
PDEC.223.1.P01650013,PDEC.223.1.P00890033	PJENN.M.1.P01320028,PJENN.M.1.P01550004	PNOV.TE.1.P01670009,PNOV.TE.1.P01270012	POCT.K8.1.P71800002770590015,POCT.K8.1.P71800002769630030
PDEC.223.1.P01650032,PDEC.223.1.P00890053	PJENN.M.1.P01320053,PJENN.M.1.P01550024	PNOV.TE.1.P01670026,PNOV.TE.1.P01270032	POCT.K8.1.P71800002770590036,POCT.K8.1.P71800002769630049
PDEC.223.1.P01650033,PDEC.223.1.P00890054	PJENN.M.1.P01320054,PJENN.M.1.P01550025	PNOV.TE.1.P01670027,PNOV.TE.1.P01270033	POCT.K8.1.P71800002770590037,POCT.K8.1.P71800002769630050
PDEC.223.1.P01650048,PDEC.223.1.P00890071	PJENN.M.1.P01320070,PJENN.M.1.P01550044	PNOV.TE.1.P01670042,PNOV.TE.1.P01270048	POCT.K8.1.P71800002770590052,POCT.K8.1.P71800002769630066
PDEC.223.1.P00890062	PJENN.M.1.P01320062,PJENN.M.1.P01550034	PNOV.TE.1.P01270041	POCT.K8.1.P71800002769630057
PDEC.223.1.P00890068	PJENN.M.1.P01320069,PJENN.M.1.P01550041	PNOV.TE.1.P01270047	POCT.K8.1.P71800002769630064
PDEC.223.1.P00900031,PDEC.223.1.P01830011	PJENN.M.1.P04240006,PJENN.M.1.P03680018	PNOV.TE.1.P07970003,PNOV.TE.1.P00860088	POCT.K8.1.P71800002767170297,POCT.K8.1.P71800002769580011
PDEC.223.1.P00640111,PDEC.223.1.P00910063	PJENN.M.1.P00710028,PJENN.M.1.P01740047	PNOV.TE.1.P01660010,PNOV.TE.1.P02270011	POCT.K8.1.P71800002769550041,POCT.K8.1.P71800002769410050
PDEC.223.1.P00640119,PDEC.223.1.P00910050	PJENN.M.1.P00710036,PJENN.M.1.P01740035	PNOV.TE.1.P01660003,PNOV.TE.1.P02270003	POCT.K8.1.P71800002769550035,POCT.K8.1.P71800002769410039
PDEC.223.1.P00910088	PJENN.M.1.P00710064	PNOV.TE.1.P02270038	POCT.K8.1.P71800002769410074
PDEC.223.1.P00760038,PDEC.223.1.P00920037	PJENN.M.1.P02160022,PJENN.M.1.P00970126	PNOV.TE.1.P03500003,PNOV.TE.1.P05080002	POCT.K8.1.P71800002770370298,POCT.K8.1.P71800002770360310
PDEC.223.1.P00920039	PJENN.M.1.P02160024,PJENN.M.1.P00970125	PNOV.TE.1.P03500001,NA	POCT.K8.1.P71800002770360308
PDEC.223.1.P00760071,PDEC.223.1.P00920069	PJENN.M.1.P02160052,PJENN.M.1.P00970092	PNOV.TE.1.P05120020,PNOV.TE.1.P05140022	POCT.K8.1.P71800002770370262,POCT.K8.1.P71800002770360276
PDEC.223.1.P00760092,PDEC.223.1.P00920087	PJENN.M.1.P02090077	PNOV.TE.1.P05120001,PNOV.TE.1.P05140001	POCT.K8.1.P71800002770370242,POCT.K8.1.P71800002770360259
PDEC.223.1.P00760142,PDEC.223.1.P00920128	PJENN.M.1.P02090023,PJENN.M.1.P00970023	PNOV.TE.1.P06180004,PNOV.TE.1.P05420005	POCT.K8.1.P71800002770370193,POCT.K8.1.P71800002770360218
PDEC.223.1.P00760148,PDEC.223.1.P00920138	PJENN.M.1.P02090014,PJENN.M.1.P00970012	PNOV.TE.1.P06180009,PNOV.TE.1.P05420015	POCT.K8.1.P71800002770370186,POCT.K8.1.P71800002770360209
PDEC.223.1.P00760152,PDEC.223.1.P00920142	PJENN.M.1.P02090009,PJENN.M.1.P00970008	PNOV.TE.1.P06180013,PNOV.TE.1.P05420020	POCT.K8.1.P71800002770370182,POCT.K8.1.P71800002770360205
PDEC.223.1.P00760027,PDEC.223.1.P00920025	PJENN.M.1.P02160010,PJENN.M.1.P00970138	PNOV.TE.1.P03500013,PNOV.TE.1.P05080013	POCT.K8.1.P71800002770370307,POCT.K8.1.P71800002770360320
PDEC.223.1.P00920029	PJENN.M.1.P02160014,PJENN.M.1.P00970135	PNOV.TE.1.P03500011,PNOV.TE.1.P05080010	POCT.K8.1.P71800002770360316
PDEC.223.1.P00760076,PDEC.223.1.P00920074	PJENN.M.1.P02160058,PJENN.M.1.P00970087	PNOV.TE.1.P05120015,PNOV.TE.1.P05140017	POCT.K8.1.P71800002770370258,POCT.K8.1.P71800002770360271
PDEC.223.1.P00920097	PJENN.M.1.P00970060	PNOV.TE.1.P04540036	POCT.K8.1.P71800002770360248
PDEC.223.1.P00760107,PDEC.223.1.P00920101	PJENN.M.1.P02090063,PJENN.M.1.P00970055	PNOV.TE.1.P03510033,PNOV.TE.1.P04540027	POCT.K8.1.P71800002770370227,POCT.K8.1.P71800002770360244
PDEC.223.1.P00760137,PDEC.223.1.P00920122	PJENN.M.1.P02090029,PJENN.M.1.P00970029	PNOV.TE.1.P03510001,PNOV.TE.1.P04540001	POCT.K8.1.P71800002770370198,POCT.K8.1.P71800002770360224
PDEC.223.1.P00930007	PJENN.M.1.P00530089	PNOV.TE.1.P09370002,PNOV.TE.1.P08730002	POCT.K8.1.P71800002770450074
PDEC.223.1.P00930013,PDEC.223.1.P00050016	PJENN.M.1.P00380092,PJENN.M.1.P00530080	PNOV.TE.1.P00540004,PNOV.TE.1.P00040008	POCT.K8.1.P71800002770450080,POCT.K8.1.P71800002769730303
PDEC.223.1.P00930076	PJENN.M.1.P00380024	PNOV.TE.1.P00540054,PNOV.TE.1.P00040065	POCT.K8.1.P71800002770450133
PDEC.223.1.P00930100	PJENN.M.1.P03580020,PJENN.M.1.P03350022	PNOV.TE.1.P00540076,PNOV.TE.1.P00040096	POCT.K8.1.P71800002770450158
PDEC.223.1.P00930106,PDEC.223.1.P00050113	PJENN.M.1.P03580015,PJENN.M.1.P03350015	PNOV.TE.1.P00540082,PNOV.TE.1.P00040102	POCT.K8.1.P71800002770450164
PDEC.223.1.P00930028	PJENN.M.1.P00380074,PJENN.M.1.P00530069	PNOV.TE.1.P00540018	POCT.K8.1.P71800002770450094
PDEC.223.1.P00930029,PDEC.223.1.P00050032	PJENN.M.1.P00380072,PJENN.M.1.P00530066	PNOV.TE.1.P00540019	POCT.K8.1.P71800002770450095,POCT.K8.1.P71800002769730287
PDEC.223.1.P00930061,PDEC.223.1.P00050058	PJENN.M.1.P00380041,PJENN.M.1.P00530039	PNOV.TE.1.P00540043,PNOV.TE.1.P00040047	POCT.K8.1.P71800002770450121,POCT.K8.1.P71800002769730262
PDEC.223.1.P00930067,PDEC.223.1.P00050064	PJENN.M.1.P00380035,PJENN.M.1.P00530033	PNOV.TE.1.P00540046,PNOV.TE.1.P00040053	POCT.K8.1.P71800002770450125,POCT.K8.1.P71800002769730256
PDEC.223.1.P00930071,PDEC.223.1.P00050075	PJENN.M.1.P00380026,PJENN.M.1.P00530023	PNOV.TE.1.P00540051,PNOV.TE.1.P00040062	POCT.K8.1.P71800002770450130,POCT.K8.1.P71800002769730246
PDEC.223.1.P00940040,PDEC.223.1.P00340055	PJENN.M.1.P00900118,PJENN.M.1.P00890112	PNOV.TE.1.P00430046,PNOV.TE.1.P00060113	POCT.K8.1.P71800002769560095,POCT.K8.1.P71800002769490120
PDEC.223.1.P00940079,PDEC.223.1.P00340109	PJENN.M.1.P00900061,PJENN.M.1.P00890060	PNOV.TE.1.P00430081,PNOV.TE.1.P00060062	POCT.K8.1.P71800002769560060,POCT.K8.1.P71800002769490066
PDEC.223.1.P00940025,PDEC.223.1.P00340032	PJENN.M.1.P00900138,PJENN.M.1.P00890133	PNOV.TE.1.P00430028,PNOV.TE.1.P00060134	POCT.K8.1.P71800002769560110,POCT.K8.1.P71800002769490139
PDEC.223.1.P00940038,PDEC.223.1.P00340053	PJENN.M.1.P00900120,PJENN.M.1.P00890114	PNOV.TE.1.P00430043,PNOV.TE.1.P00060115	POCT.K8.1.P71800002769560097,POCT.K8.1.P71800002769490122
PDEC.223.1.P00940056,PDEC.223.1.P00340082	PJENN.M.1.P00900092,PJENN.M.1.P00890087	PNOV.TE.1.P00430061,PNOV.TE.1.P00060090	POCT.K8.1.P71800002769560081,POCT.K8.1.P71800002769490092
PDEC.223.1.P00940088,PDEC.223.1.P00340116	PJENN.M.1.P00900052,PJENN.M.1.P00890052	PNOV.TE.1.P00430089,PNOV.TE.1.P00060053	POCT.K8.1.P71800002769560052,POCT.K8.1.P71800002769490058
PDEC.223.1.P00940100,PDEC.223.1.P00340129	PJENN.M.1.P00900038,PJENN.M.1.P00890039	PNOV.TE.1.P00430102,PNOV.TE.1.P00060039	POCT.K8.1.P71800002769560039,POCT.K8.1.P71800002769490044
PDEC.223.1.P00940110,PDEC.223.1.P00340144	PJENN.M.1.P00900026,PJENN.M.1.P00890029	PNOV.TE.1.P00430112,PNOV.TE.1.P00060025	POCT.K8.1.P71800002769560029,POCT.K8.1.P71800002769490031
PDEC.223.1.P00940117,PDEC.223.1.P00340150	PJENN.M.1.P00900019,PJENN.M.1.P00890024	PNOV.TE.1.P00430117,PNOV.TE.1.P00060019	POCT.K8.1.P71800002769560023,POCT.K8.1.P71800002769490025
PDEC.223.1.P01360016,PDEC.223.1.P00950027	PJENN.M.1.P00880111,PJENN.M.1.P00680107	PNOV.TE.1.P03370021,PNOV.TE.1.P05320010	POCT.K8.1.P71800002769650034,POCT.K8.1.P71800002769710106
PDEC.223.1.P01360019,PDEC.223.1.P00950033	PJENN.M.1.P00880106,PJENN.M.1.P00680101	PNOV.TE.1.P03370025,PNOV.TE.1.P05320015	POCT.K8.1.P71800002769650037,POCT.K8.1.P71800002769710101
PDEC.223.1.P00950036	PJENN.M.1.P00880103	PNOV.TE.1.P03370028,PNOV.TE.1.P05320018	POCT.K8.1.P71800002769710098
PDEC.223.1.P01360027,PDEC.223.1.P00950040	PJENN.M.1.P00880098,PJENN.M.1.P00680093	PNOV.TE.1.P03370034,PNOV.TE.1.P05320021	POCT.K8.1.P71800002769650044,POCT.K8.1.P71800002769710093
PDEC.223.1.P01360063,PDEC.223.1.P00950075	PJENN.M.1.P00880060,PJENN.M.1.P00680061	PNOV.TE.1.P04860021,PNOV.TE.1.P04800021	POCT.K8.1.P71800002769650080,POCT.K8.1.P71800002769710060
PDEC.223.1.P01360085,PDEC.223.1.P00950100	PJENN.M.1.P00880035,PJENN.M.1.P00680039	PNOV.TE.1.P02380033,PNOV.TE.1.P05510012	POCT.K8.1.P71800002769650099,POCT.K8.1.P71800002769710036
PDEC.223.1.P01360086,PDEC.223.1.P00950101	PJENN.M.1.P00880034,PJENN.M.1.P00680038	PNOV.TE.1.P02380032,PNOV.TE.1.P05510013	POCT.K8.1.P71800002769650100,POCT.K8.1.P71800002769710035
PDEC.223.1.P01360018,PDEC.223.1.P00950032	PJENN.M.1.P00880107,PJENN.M.1.P00680102	PNOV.TE.1.P03370024,PNOV.TE.1.P05320014	POCT.K8.1.P71800002769650036,POCT.K8.1.P71800002769710102
PDEC.223.1.P01360050,PDEC.223.1.P00950063	PJENN.M.1.P00880073,PJENN.M.1.P00680070	PNOV.TE.1.P04860008,PNOV.TE.1.P04800011	POCT.K8.1.P71800002769650067,POCT.K8.1.P71800002769710070
PDEC.223.1.P00950083	PJENN.M.1.P00680053	NA,PNOV.TE.1.P04800028	POCT.K8.1.P71800002769710053
PDEC.223.1.P00960004,NA	PJENN.M.1.P01270103,NA	PNOV.TE.1.P03440025,NA	POCT.K8.1.P71800002770680109,NA
PDEC.223.1.P00840162,PDEC.223.1.P00970014	PJENN.M.1.P00250174,PJENN.M.1.P01060015	PNOV.TE.1.P05970004,PNOV.TE.1.P07430012	POCT.K8.1.P71800002770290006,POCT.K8.1.P71800002769700185
PDEC.223.1.P00840125,PDEC.223.1.P00970041	PJENN.M.1.P01060051	PNOV.TE.1.P06930005,PNOV.TE.1.P07220014	POCT.K8.1.P71800002770290038,POCT.K8.1.P71800002769700157
PDEC.223.1.P00840076,PDEC.223.1.P00970079	PJENN.M.1.P01060097	PNOV.TE.1.P02840031,PNOV.TE.1.P03970021	POCT.K8.1.P71800002770290084,POCT.K8.1.P71800002769700118
PDEC.223.1.P00840072,PDEC.223.1.P00970085	PJENN.M.1.P01060103	PNOV.TE.1.P02840036,PNOV.TE.1.P03970027	POCT.K8.1.P71800002770290088,POCT.K8.1.P71800002769700112
PDEC.223.1.P00840037,PDEC.223.1.P00970108	PJENN.M.1.P01060124	PNOV.TE.1.P04930013,PNOV.TE.1.P02590036	POCT.K8.1.P71800002770290116,POCT.K8.1.P71800002769700089
PDEC.223.1.P00840038,PDEC.223.1.P00970109	PJENN.M.1.P01060125	PNOV.TE.1.P02590035	POCT.K8.1.P71800002770290115,POCT.K8.1.P71800002769700088
PDEC.223.1.P00840007,PDEC.223.1.P00970138	PJENN.M.1.P03910008,PJENN.M.1.P03850011	PNOV.TE.1.P06670014,PNOV.TE.1.P02590010	POCT.K8.1.P71800002770290143,POCT.K8.1.P71800002769700062
PDEC.223.1.P00970046	PJENN.M.1.P01060057	PNOV.TE.1.P07220009	POCT.K8.1.P71800002769700152
PDEC.223.1.P00970070	PJENN.M.1.P01060088	PNOV.TE.1.P02840019,PNOV.TE.1.P03970014	POCT.K8.1.P71800002770290076,POCT.K8.1.P71800002769700127
PDEC.223.1.P00840074,PDEC.223.1.P00970083	PJENN.M.1.P01060101	PNOV.TE.1.P02840034,PNOV.TE.1.P03970025	POCT.K8.1.P71800002770290086,POCT.K8.1.P71800002769700114
PDEC.223.1.P00970084	PJENN.M.1.P01060102	PNOV.TE.1.P03970026	POCT.K8.1.P71800002769700113
PDEC.223.1.P00970104	PJENN.M.1.P01060120	PNOV.TE.1.P02590040	POCT.K8.1.P71800002769700094
PDEC.223.1.P00840046,PDEC.223.1.P00970114	PJENN.M.1.P01060132	PNOV.TE.1.P04930007,PNOV.TE.1.P02590030	POCT.K8.1.P71800002770290109,POCT.K8.1.P71800002769700083
PDEC.223.1.P00840004,PDEC.223.1.P00970140	PJENN.M.1.P03910005,PJENN.M.1.P03850007	PNOV.TE.1.P06670017,PNOV.TE.1.P02590008	POCT.K8.1.P71800002770290147,POCT.K8.1.P71800002769700060
PDEC.223.1.P00990025,PDEC.223.1.P02200056	PJENN.M.1.P00570037,PJENN.M.1.P01120032	PNOV.TE.1.P00830056,PNOV.TE.1.P00990059	POCT.K8.1.P71800002769790086,POCT.K8.1.P71800002770640078
PDEC.223.1.P00990039	PJENN.M.1.P00570022	PNOV.TE.1.P00830042,PNOV.TE.1.P00990045	POCT.K8.1.P71800002769790073
PDEC.223.1.P00990041,PDEC.223.1.P02200041	PJENN.M.1.P00570020,PJENN.M.1.P01120018	PNOV.TE.1.P00830040,PNOV.TE.1.P00990042	POCT.K8.1.P71800002769790071,POCT.K8.1.P71800002770640094
PDEC.223.1.P00990062,PDEC.223.1.P02200023	PJENN.M.1.P02890045,PJENN.M.1.P02580051	PNOV.TE.1.P00830020,PNOV.TE.1.P00990025	POCT.K8.1.P71800002769790053,POCT.K8.1.P71800002770640113
PDEC.223.1.P00990066,PDEC.223.1.P02200017	PJENN.M.1.P02890039,PJENN.M.1.P02580045	PNOV.TE.1.P00990019	POCT.K8.1.P71800002769790050,POCT.K8.1.P71800002770640119
PDEC.223.1.P00990074,PDEC.223.1.P02200008	PJENN.M.1.P02580037	PNOV.TE.1.P00830010,PNOV.TE.1.P00990011	POCT.K8.1.P71800002769790042,POCT.K8.1.P71800002770640127
PDEC.223.1.P00990090,PDEC.223.1.P03580024	PJENN.M.1.P02890019,PJENN.M.1.P02580019	PNOV.TE.1.P06660005,PNOV.TE.1.P07620003	POCT.K8.1.P71800002769790026,POCT.K8.1.P71800002770640142
PDEC.223.1.P00990038,PDEC.223.1.P02200043	PJENN.M.1.P00570023,PJENN.M.1.P01120020	PNOV.TE.1.P00830043,PNOV.TE.1.P00990046	POCT.K8.1.P71800002769790074,POCT.K8.1.P71800002770640092
PDEC.223.1.P00990048	PJENN.M.1.P01120008	PNOV.TE.1.P00830033	POCT.K8.1.P71800002769790064
PDEC.223.1.P00990061,PDEC.223.1.P02200022	PJENN.M.1.P02890044,PJENN.M.1.P02580050	PNOV.TE.1.P00830021,PNOV.TE.1.P00990024	POCT.K8.1.P71800002769790054,POCT.K8.1.P71800002770640114
PDEC.223.1.P00990069,PDEC.223.1.P02200013	PJENN.M.1.P02890035,PJENN.M.1.P02580042	PNOV.TE.1.P00830014,PNOV.TE.1.P00990015	POCT.K8.1.P71800002769790047,POCT.K8.1.P71800002770640123
PDEC.223.1.P00990070,PDEC.223.1.P02200012	PJENN.M.1.P02890034,PJENN.M.1.P02580041	PNOV.TE.1.P00830013,PNOV.TE.1.P00990014	POCT.K8.1.P71800002769790046,POCT.K8.1.P71800002770640124
PDEC.223.1.P00990071,PDEC.223.1.P02200011	PJENN.M.1.P02890033,PJENN.M.1.P02580040	PNOV.TE.1.P00830012,PNOV.TE.1.P00990013	POCT.K8.1.P71800002769790045,POCT.K8.1.P71800002770640125
PDEC.223.1.P01000022	PJENN.M.1.P02910016,PJENN.M.1.P02590021	PNOV.TE.1.P00940006	POCT.K8.1.P71800002769000049
PDEC.223.1.P01000032,PDEC.223.1.P00110045	PJENN.M.1.P02910005,PJENN.M.1.P02590004	PNOV.TE.1.P00940014,PNOV.TE.1.P00520010	POCT.K8.1.P71800002769000059,POCT.K8.1.P71800002769600068
PDEC.223.1.P01000039,PDEC.223.1.P00110052	PJENN.M.1.P01350003,PJENN.M.1.P01460003	PNOV.TE.1.P00940021,PNOV.TE.1.P00520018	POCT.K8.1.P71800002769000064,POCT.K8.1.P71800002769600075
PDEC.223.1.P01000073,PDEC.223.1.P00110092	PJENN.M.1.P01350051,PJENN.M.1.P01460042	PNOV.TE.1.P00940049,PNOV.TE.1.P00520055	POCT.K8.1.P71800002769000095,POCT.K8.1.P71800002769600125
PDEC.223.1.P01000091,PDEC.223.1.P00110109	PJENN.M.1.P01350069,PJENN.M.1.P01460057	PNOV.TE.1.P00940064,PNOV.TE.1.P00520070	POCT.K8.1.P71800002769000109,POCT.K8.1.P71800002769600142
PDEC.223.1.P01000056	PJENN.M.1.P01350031,PJENN.M.1.P01460023	PNOV.TE.1.P00940035	POCT.K8.1.P71800002769000079
PDEC.223.1.P01000066,PDEC.223.1.P00110085	PJENN.M.1.P01350041,PJENN.M.1.P01460034	PNOV.TE.1.P00940043,PNOV.TE.1.P00520048	POCT.K8.1.P71800002769000088,POCT.K8.1.P71800002769600118
PDEC.223.1.P01000074,PDEC.223.1.P00110093	PJENN.M.1.P01350052,PJENN.M.1.P01460043	PNOV.TE.1.P00940050,PNOV.TE.1.P00520056	POCT.K8.1.P71800002769000096,POCT.K8.1.P71800002769600126
PDEC.223.1.P01000088	PJENN.M.1.P01350064,PJENN.M.1.P01460053	PNOV.TE.1.P00940061	POCT.K8.1.P71800002769000105
PDEC.223.1.P01000088	PJENN.M.1.P01350064,PJENN.M.1.P01460053	PNOV.TE.1.P00940061	POCT.K8.1.P71800002769000105
PDEC.223.1.P01010055	PJENN.M.1.P00840047	PNOV.TE.1.P04850024,NA	POCT.K8.1.P71800002769210080
PDEC.223.1.P01010092,PDEC.223.1.P01610072	PJENN.M.1.P00840015,NA	PNOV.TE.1.P07670006,PNOV.TE.1.P00380011	POCT.K8.1.P71800002769210119,POCT.K8.1.P71800002769260106
PDEC.223.1.P01010092,PDEC.223.1.P01610072	PJENN.M.1.P00840015,NA	PNOV.TE.1.P07670006,PNOV.TE.1.P00380011	POCT.K8.1.P71800002769210119,POCT.K8.1.P71800002769260106
PDEC.223.1.P01010071,PDEC.223.1.P01610052	PJENN.M.1.P00840035,PJENN.M.1.P01140030	PNOV.TE.1.P04850010,PNOV.TE.1.P00380028	POCT.K8.1.P71800002769210097,POCT.K8.1.P71800002769260124
PDEC.223.1.P00390007,PDEC.223.1.P01020009	PJENN.M.1.P00360170	PNOV.TE.1.P00140144,NA	POCT.K8.1.P71800002770200201,POCT.K8.1.P71800002770220138
PDEC.223.1.P00390015,PDEC.223.1.P01020020	PJENN.M.1.P00360160	PNOV.TE.1.P00140136,PNOV.TE.1.P04730011	POCT.K8.1.P71800002770200210,POCT.K8.1.P71800002770220126
PDEC.223.1.P00390026,PDEC.223.1.P01020028	PJENN.M.1.P00360149	PNOV.TE.1.P00140125,PNOV.TE.1.P04730020	POCT.K8.1.P71800002770200221,POCT.K8.1.P71800002770220117
PDEC.223.1.P01020052	PJENN.M.1.P00830128,PJENN.M.1.P00360120	PNOV.TE.1.P00140103,PNOV.TE.1.P00980010	POCT.K8.1.P71800002770220095
PDEC.223.1.P00390096,PDEC.223.1.P01020084	PJENN.M.1.P00830089,PJENN.M.1.P00360081	PNOV.TE.1.P00140066,PNOV.TE.1.P00980036	POCT.K8.1.P71800002770200285,POCT.K8.1.P71800002770220060
